source,pivot_text(de),pivot_text(zh),back_translated_text(zh),Unnamed: 4,back_translated_text(de)
"After the mutiny Following the Indian Mutiny of 1857 - 58 and the consequent abolition of the East India Company, its European regiments were amalgamated in 1860 with the British Army, but its ‘ Native ’ regiments were not.",Nach der indischen Meuterei von 1857 - 58 löste sich die Ostindien-Kompanie auf. Ihre europäischen Regimenter wurden 1860 in die britische Armee aufgenommen.,"1857-58年印度暴动后, 东印度公司被废除, 1860年欧洲军团与英国军队合并,","After the Indian riots of 1857-58, the East India Company was abolished and the European Corps merged with the British Army in 1860.",,"After the Indian mutiny of 1857 - 58, the East India Company dissolved. Their European regiments were admitted to the British army in 1860."
"HOPEFUL, the resident of Vanity Fair, who takes Faithful's place as Christian's fellow traveller.",HOPEFUL ist ein Bewohner der Vanity Fair. Er nimmt den Platz von Faithful als Mitreisender von Christen.,"虚荣的公平居民希望, 以信仰的 位置 基督教的同行旅行者。","The vanity of fair residents wishes, in the place of faith of Christian fellow travellers.",,HOPEFUL is a resident of the Vanity Fair. He takes the place of Faithful as a fellow traveler of Christians.
"Naming and records After all of the twenty one predetermined hurricane names for the 2005 season were exhausted following Hurricane Wilma, the Greek alphabet was used, beginning with Tropical Storm Alpha.",Im Jahr 2005 wurden alle einundzwanzig Hurrikannamen verwendet. Sie wechselten auf das griechische Alphabet. Der erste griechische Name war Tropical Storm Alpha.,"2005年,所有21个飓风名称都使用了,它们改用希腊字母,第一个希腊名字是热带风暴阿尔法。","In 2005, all 21 hurricane names were used, which were changed to Greek letters, with the first Greek name being Tropical Storm Alpha.",,"In 2005, all twenty-one hurricane names were used. They changed to the Greek alphabet. The first Greek name was Tropical Storm Alpha."
"Associativity of addition: For any integers, a, b and c, (a + b) + c = a + (b + c).",(a + b) + c = a + (b + c).,"对于任何整数,a、b和c、(a+b)+c=a+(b+c)。","For any integer, a, b and c, (a+b)+c=a+ (b+c).",,(a + b) + c = a + (b + c).
"Types of abrasions Colloquially, abrasions caused by contact with textiles or carpeting are referred to as rug burn or carpet burn.","Schleifen, die durch Kontakt mit Textilien oder Teppichen verursacht werden, werden als Teppichbrennen oder Teppichbrennen bezeichnet.","用普通语言说,与纺织品或地毯接触造成的伤害称为地毯烧伤或地毯烧伤。","In general terms, the harm caused by contact with textiles or carpets is referred to as carpet burns or carpet burns.",,Grinding caused by contact with textiles or carpets is called carpet burning or carpet burning.
History The district was created in 1994 by merging the two previous districts Riesa and Großenhain.,Der Landkreis wurde 1994 durch die Kombination der beiden früheren Bezirke Riesa und Großenhain gebildet.,"1994年创建了该区,它们合并了先前的Riesa和Groenhain两个区。",The zone was created in 1994 and combines the former Riesa and Groenhain districts.,,The district was formed in 1994 by the combination of the two former districts of Riesa and Großenhain.
"The songs are written by many different famous composer in Hong Kong, such as Paul Wong and Eric Kwok.","Die Lieder stammen von verschiedenen Komponisten in Hongkong, wie Paul Wong und Eric Kwok.","这些歌曲由香港的几位作曲家撰写,例如Paul Wong和Eric Kwok。","These songs were written by several Hong Kong composers, such as Paul Wong and Eric Kwok.",,"The songs come from various composers in Hong Kong, such as Paul Wong and Eric Kwok."
"Silver-plate gives a clearer, brighter sound than gold and is good for styles of playing that need clarity and projection.","Silberplatte gibt einen klareren, helleren Klang als Gold. Es ist gut für Spielstile, die Klarheit und Projektion benötigen.","银牌比金色更能发出声音,而且对打球的风格也有好处,这种风格必须清晰而响亮。","Silver cards make a sound better than gold, and they also benefit the style of playing, which must be clear and loud.",,"Silver plate gives a clearer, brighter sound than gold. It is good for playing styles that need clarity and projection."
He was inducted into the Blues Hall of Fame later the same year.,Im selben Jahr wurde er in die Blues Hall of Fame aufgenommen.,同年他被关进蓝调名人堂,The same year he was locked up in the Blue Note Hall.,,In the same year he was admitted to the Blues Hall of Fame.
In 1838 Thomas Icely requested that a village be established to service his large pastoral estate.,"Im Jahr 1838 bat Thomas Icely, ein Dorf zu schaffen, um sein großes pastorales Land zu bedienen.","1838年,Thomas Icely要求建立一个村庄,为他的大片牧场提供服务。","In 1838, Thomas Icely requested the establishment of a village to serve his large rangelands.",,"In 1838, Thomas Icely asked to create a village to serve his great pastoral land."
"The list is sorted by film and character, as some characters have been portrayed by multiple actors.","Die Liste ist nach Film und Charakter geordnet, einige Charaktere wurden von mehreren Schauspielern gespielt.","清单按电影/特征分类,因为许多行为者发挥了某些作用。","The list is classified by film/characterism, as many actors play some role.",,"The list is arranged by film and character, some characters were played by several actors."
"It consists of seven or eight stages and oscillates around 1,200km in length.",Es besteht aus sieben oder acht Stufen und schwankt um 1.200 km Länge.,"它由七至八个阶段组成,长1 200公里。","It consists of seven to eight phases and is 1,200 kilometres long.",,"It consists of seven or eight steps and varies by 1,200 km in length."
"He was involved in litigation in 1889 with his former assistant Charles A. Borst, and the ""Great Star-Catalog Case"" Peters v. Borst went before the Supreme Court of New York.","Er war in eine Klage im Jahre 1889 mit seinem ehemaligen Assistenten Charles A. Borst beteiligt. So ging der ""Große Star-Katalog-Fall"" Peters v. Borst vor den Obersten Gerichtshof von New York.","1889年,他与Charles A. Borst一起出庭,而“大星-数据案件”Peters诉Borst案则由纽约最高法院审理。","In 1889, he appeared together with Charles A. Borst, while Peters v. Borst, Big Star-Data case, was heard by the Supreme Court of New York.",,"He was involved in a lawsuit in 1889 with his former assistant Charles A. Borst. Thus, the ""Great Star Catalog Case"" Peters v. Borst went to the Supreme Court of New York."
"SWOT Analysis is a strategic planning method used to evaluate the Strengths, Weaknesses, Opportunities, and Threats involved in a project or in a business venture.","SWOT Analysis ist eine geplante Methode zur Bewertung der Stärken, Schwächen, Chancen und Bedrohungen in einem Projekt oder in einem Business Act.","SWOT分析是一种战略规划方法,用来判断项目的实力、弱点、机会和威胁。","SWOT analysis is a strategic planning method used to judge project strengths, weaknesses, opportunities and threats.",,"SWOT Analysis is a planned method for assessing strengths, weaknesses, opportunities and threats in a project or in a business act."
Burrendong Arboretum is a sanctuary for endangered Australian flora and covers 1.60 km ².,"Burrendong Arboretum ist ein Park für bedrohte australische Pflanzen und ist 1,60 km2.","Burrendong Arboretum是澳大利亚濒危植物的安全地点,面积1.60平方公里。",Burrendong Arboretam is a safe site for endangered Australian plants with an area of 1.60 square kilometres.,,Burrendong Arboretum is a park for endangered Australian plants and is 1.60 km2.
"Gothic architecture, in its Catalan or Mediterranean version, is the predominant style of this cathedral, although it also contains Romanesque, French Gothic, Renaissance art, Baroque and neoclassical elements.","Gothic Design, die katalanische oder mediterrane Art, ist der Hauptstil der Kirche, aber es hat auch romanische, französische gotische, Renaissance-Kunst, Barock und neoklassische Teile.","加泰罗尼亚或地中海版的哥特建筑是该大教堂的一般风格,还有罗马语、法国哥特语、文艺复兴艺术、巴洛克语和新古典。","Catalan or Mediterranean version of Gothic is the general style of the Cathedral, as well as Roman, French Gothic, Renaissance, Baroque and neoclassical.",,"Gothic design, the Catalan or Mediterranean style, is the main style of the church, but it also has Romanesque, French Gothic, Renaissance art, Baroque and neoclassical parts."
"In 1798, the Helvetian Republic was proclaimed and the lords from Bern were ousted.",1798 entfernte die Helvetische Republik die Herren aus Bern.,"1798年,赫尔维提共和国宣布成立,伯尔尼的领主们也被赶下台。","In 1798, the Republic of Helveti was proclaimed, and the lords of Berne were removed.",,"In 1798, the Helvetic Republic removed the men from Bern."
"On September 22, the system had become more organized, and the National Hurricane Center mentioned the potential existed for tropical or subtropical development in the area.","Am 22. September war das System organisierter geworden, und das National Hurricane Center sagte, dass das Potenzial für tropische oder subtropische Entwicklung in der Region existierte.","9月22日,国家飓风中心表示,该系统可能变成亚热带发展。","On 22 September, the National Hurricane Centre indicated that the system could become a subtropical development.",,"On September 22, the system had become more organized, and the National Hurricane Center said that the potential for tropical or subtropical development existed in the region."
The adoption success rate was outstanding.,Die Adoptionserfolgsrate war sehr gut.,成功收养的人数很多。,The number of successful adoptions is high.,,The adoption success rate was very good.
"Culture Attractions in Nouakchott include Nouakchott Museum, several markets including Nouakchott Silver Market, and the beaches.","Kultur Sehenswertes in Nouakchott sind ein Museum, Märkte und Strände.",努瓦克肖特的吸引力包括努瓦克肖特博物馆、几个市场和海滩。 努瓦克肖特银市是一个市场。,"The attraction of Nouakchott includes the Nouakchott Museum, several markets and beaches, and the Silver City of Nouakchott is a market.",,"Culture Attractions in Nouakchott are a museum, markets and beaches."
"Parts of Europe, including much of Scandinavia, never adopted many feudal institutions, including serfdom.","Viele feudale Institutionen, wie die Leibeigenschaft, wurden nie von Teilen Europas, einschließlich Skandinaviens, übernommen.","欧洲的部分地区从未有过许多封建机构,包括农奴,这包括斯堪的纳维亚的大部分地区。","There have never been many feudal institutions in parts of Europe, including serfdom, which includes most of Scandinavia.",,"Many feudal institutions, such as serfdom, have never been taken over by parts of Europe, including Scandinavia."
"He composed music in all major genres, including art song, chamber music, oratorio, opera, ballet music, and orchestral music.",Er komponierte Musik in allen wichtigen Genres.,"他制作了所有主要类别的音乐,包括艺术歌曲、室内音乐、游乐场、歌剧、芭蕾舞和管弦乐。","He produced all major types of music, including art songs, indoor music, playgrounds, operas, ballet and orchestra.",,He composed music in all major genres.
"However, unlike the moon, it has a large iron core, which generates a magnetic field about 1% as strong as that of the Earth.","Im Gegensatz zum Mond hat er jedoch einen großen Eisenkern. Dadurch entsteht ein Magnetfeld, das etwa 1% so stark ist wie das der Erde.","然而,与月球不同的是,它有一个巨大的铁芯 使磁场的强度 大约为地球的1%。","However, unlike the Moon, it has a huge iron core that makes the magnetic field about 1 percent of the Earth's strength.",,"In contrast to the moon, however, it has a large iron core. This creates a magnetic field that is about 1% as strong as that of the Earth."
"She finally found him in a hospital bed in Reggio Emilia, ill with a fever and subsisting on a daily bowl of chicory coffee and bread crust.",Schließlich fand sie ihn in einem Krankenhausbett in Reggio Emilia. Er war krank mit Fieber und überlebte auf einer Schüssel Zichorienkruste und Brotkruste pro Tag.,"她在Reggio Emilia的医院床上发现他,他发烧发烧,只吃椰子咖啡和面包壳。","She found him in the hospital bed of Reggio Emilia, where he had a fever and ate only coconut coffee and breadshells.",,Finally she found him in a hospital bed in Reggio Emilia. He was sick with fever and survived on a bowl of chicory crust and bread crust per day.
The Victoria Hall remained in use until 1941 when it was destroyed by a German bomb.,"Die Victoria Hall blieb bis 1941 in Betrieb, als sie von einer deutschen Bombe zerstört wurde.","维多利亚厅一直被使用到1941年,当时德国人埋设的一枚炸弹严重损坏。","The Victoria Hall was used until 1941, when a bomb planted by the Germans was severely damaged.",,The Victoria Hall remained in operation until 1941 when it was destroyed by a German bomb.
"In the 11th and 12th century Soest grew considerably, making it one of the biggest towns in Westphalia with some 10,000 citizens.",Im 11. und 12. Jahrhundert wuchs Soest sehr stark und wurde mit rund 10.000 Einwohnern zu einer der größten Städte in Westfalen.,"在11世纪和12世纪,海燕成为威斯特伐利亚最大的城镇之一,约有1万公民。","In the eleventh and twelfth centuries, Sea petrels became one of the largest towns in Westphalia, with approximately 10,000 citizens.",,"In the 11th and 12th centuries Soest grew very strongly and with about 10,000 inhabitants became one of the largest cities in Westphalia."
"Vladimir Mikhailovich Jurowski (; born April 4 1972, Moscow, Russia) is a Russian conductor.","Wladimir Michailowitsch Jurowski ist ein russischer Dirigent, der die Aufführung eines Orchesters leitet.",弗拉基米尔·米哈伊洛维奇·尤罗夫斯基是俄罗斯指挥。,Vladimir Mikhailovich Yurovsky is the Russian commander.,,Vladimir Mikhailovich Jurovsky is a Russian conductor who directs the performance of an orchestra.
"The two men toured New England and successfully raised private and public funds to found a school for deaf students in Hartford, which later became known as the American School for the Deaf.","Die beiden Männer tourten durch New England. Sie finanzieren, um eine Schule für taube Schüler in Hartford. Es ist bekannt als die American School for the Deaf.","美国聋人学校由两名男子资助,他们环游新英格兰,收集公共和私人资金。",The American School for the Deaf is funded by two men who travel around New England to collect public and private funds.,,The two men toured through New England. They financed a school for deaf students in Hartford. It is known as the American School for the Deaf.
The winter solstice occurs at the instant when the Sun's position in the sky is at its greatest angular distance on the other side of the equatorial plane from the observer's hemisphere.,"Die Wintersonnenwende tritt auf, wenn die Position der Sonne am Himmel auf ihrer größten Höhe auf der anderen Seite des Äquators liegt, von wo aus sie beobachtet wird.",冬眠是太阳在天空中的位置 在赤道平面另一侧 与观察者所在的半球 最大的角距离,"The hibernation is the position of the sun in the sky, on the other side of the equator level, at the largest angle of the hemisphere of the observer.",,The winter solstice occurs when the position of the sun in the sky lies at its highest altitude on the other side of the equator from where it is observed.
"The largest by far is Triton, discovered by William Lassell just seventeen days after the discovery of Neptune itself.",Triton ist das größte. Es wurde von William Lassell nur 17 Tage nach der Entdeckung von Neptun entdeckt.,"目前最大的是Triton,是William Lassell在发现海王星后17天发现的。","The largest one is Triton, and William Lassell discovered it 17 days after Neptune was discovered.",,Triton is the largest. It was discovered by William Lassell only 17 days after the discovery of Neptune.
"References External links ""A Remembrance of Olin Eggen — 1919 – 1998"", by Nicholas B. Suntzeff, 6 October 1998; NOAO Newsletter, No. 56, December 1998.","""A Remembrance of Olin Eggen — 1919 – 1998"", von Nicholas B. Suntzeff, 6. Oktober 1998; NOAO Newsletter, Nr. 56, Dezember 1998.","1998年10月6日Nicholas B. Suntzeff著《Olin Eggen的纪念-1919-1998年》外部链接;NOAO通讯,第56号,1998年12月。","6 October 1998, Nicholas B. Suntzeff, “Olin Eggen’s Memorial — 1919-1998”, external link; NOAO newsletter, No. 56, December 1998.",,"""A Remembrance of Olin Eggen — 1919 – 1998"", by Nicholas B. Suntzeff, 6 October 1998; NOAO Newsletter, No. 56, December 1998."
It was premiered in Wagner's Bayreuth Festival as part of the complete cycle on 14 August 1876.,Es wurde erstmals in Wagners Bayreuther Festspielen im Rahmen des Gesamtzyklus am 14.08.1876 gezeigt.,"1876年8月14日,作为整个周期的一部分,Bayreuth节于1876年8月14日在Bayreuth节开幕。","On 14 August 1876, as part of the entire cycle, the Bayreuth Festival was opened on 14 August 1876 at Bayreuth Festival.",,It was shown for the first time at Wagner's Bayreuth Festival as part of the entire cycle on 14.08.1876.
Russia specifically blocked transfer of U. N. facility to the EU mission.,Russland hat speziell die Übertragung von U.N. Die Einrichtung für die EU-Mission blockiert.,俄罗斯显然阻止了联合国工作人员前往欧盟代表团。,Russia has apparently prevented United Nations staff from travelling to the EU mission.,,Russia has specifically blocked the transfer of U.N. The institution for the EU mission.
"Opeth decided against cancelling the remainder of the tour, and Lopez's drum technician filled in for two concerts.","Opeth hat den Rest der Tour nicht abgebrochen, und Lopez' Drum Tech half bei (2) Konzerten.",欧佩斯没有取消剩下的巡演 洛佩兹的鼓技师 来过两场音乐会,Opus didn't cancel the rest of the tour.,,"Opeth did not cancel the rest of the tour, and Lopez' Drum Tech helped with (2) concerts."
"Despite a decrease in convection shortly after forming, the large depression remained well organized, with a wind field 575 miles (930 km) in diameter.",Auch bei weniger warmer und kalter Luftbewegung blieb das große Wettersystem mit einem Windfeld von 575 Meilen gut zusammengestellt.,"形成后对流减少,但大萧条仍组织完善,风场575英里(930公里)宽。","While the confluence has decreased since the formation, the Great Depression is still well organized and the windfield is 575 miles (930 kilometres) wide.",,"Even with less warm and cold air movement, the large weather system with a wind field of 575 miles remained well put together."
The album is named after a song on the album; a cover of the original by folk singer Tom Brosseau.,Das Album ist nach einem Lied auf dem Album benannt. Es ist ein Cover eines Liedes des Folksängers Tom Brosseau.,"该专辑以上面的一首歌命名, 是民谣歌手Tom Brosseau首张封面。","The album was named after one of the songs above, and it was the first cover of the folk singer Tom Brosseau.",,The album is named after a song on the album. It is a cover of a song by folk singer Tom Brosseau.
"Retiring sickly and suffering several long illnesses, Elizabeth died on September 23, 1830 aged 62, at her home, Oak Hill.",Elizabeth starb am 23. September 1860 nach mehreren langen Krankheiten.,"Elizabeth退休后生病, 于1830年9月23日死亡,","Elizabeth became sick after he retired and died on September 23, 1830.",,"Elizabeth died on September 23, 1860 after several long illnesses."
"After the critical and box office failure of the previous and presumed last installment Rocky V, Stallone had decided to end the series with a sixth installment which would be a more appropriate climax to the series.","Nach dem analytischen und Kassenausfall des vorherigen und vermeintlichen letzten Kapitels von Rocky V hatte Stallone beschlossen, die Serie mit einem sechsten Kapitel zu beenden, was ein angemesseneres Ende der Serie sein würde.","落基五号失败后, Stallone 决定以第六期分期付款结束该系列。 这个分期付款将是该系列的更合适的高潮 。","When Rocky Five fails, Stallone decides to close the series with a sixth instalment. This instalment will be a more appropriate climax for the series.",,"After the analytical and cash failure of the previous and supposed last chapter of Rocky V, Stallone had decided to end the series with a sixth chapter, which would be a more appropriate end of the series."
Later that year he left for the Hamburg Opera to work as a chorus director.,"In diesem Jahr ging er zur Hamburger Oper, um den Chor zu leiten.",当年晚些时候他离开 成为汉堡歌剧院合唱团的导演,"Later that year, he left to be director of the Hamburg Opera.",,This year he went to the Hamburg Opera to lead the choir.
Iran's diagonal distance from Azerbaijan in the northwest to Sistan and Baluchestan Province in the southeast is approximately.,Die diagonale Entfernung des Iran von Aserbaidschan zur Provinz Sistan und Baluchestan ist ungefähr.,伊朗与阿塞拜疆的距离在西北部至东南部锡斯坦和俾路支斯坦省大约,The distance between Iran and Azerbaijan is approximately from north-west to south-east Sistan and Baluchistan Provinces,,The diagonal distance of Iran from Azerbaijan to the province of Sistan and Baluchestan is approximate.
"In the book The Very First Light, Mather with co-author John Boslough chronicled his team's work for the general public.",Mather und John Boslough nahmen die Arbeit des Teams für die Öffentlichkeit in dem Buch auf.,Mather和John Boslough在《最光明》中记录了他的团队的公共工程。,Mather and John Boslough documented his team's public works in The Lightest.,,Mather and John Boslough recorded the work of the team for the public in the book.
"An extensive canal network remains from the Industrial Revolution, nowadays mainly used for leisure.",Ein ausgedehntes Kanalnetz aus der industriellen Revolution wird heute hauptsächlich für Freizeitzwecke genutzt,"工业革命留下一个大型运河网络,如今主要用于休闲。","The industrial revolution left behind a large network of canals, which is now mainly used for leisure.",,An extensive network of canals from the industrial revolution is now mainly used for leisure purposes
"On October 16, 1990, the UN General Assembly decided to grant the ICRC observer status for its assembly sessions and sub-committee meetings, the first observer status given to a private organization.","Am 16. Oktober 1990 erteilte die Generalversammlung der Vereinten Nationen dem IKRK den Beobachterstatus für seine Versammlungs- und Unterausschusssitzungen. Es war der erste Beobachterstatus, der einer privaten Organisation verliehen wurde.","1990年10月16日,联合国大会决定给予红十字委员会在大会和小组委员会会议上的观察员地位,这是给予一个私人组织的第一次观察员地位。","On 16 October 1990, the General Assembly of the United Nations decided to grant observer status to ICRC in the General Assembly and the Sub-Commission for the first time to a private organization.",,"On 16 October 1990, the United Nations General Assembly granted the ICRC observer status for its Assembly and Subcommittee meetings. It was the first observer status granted to a private organisation."
Leonardo tells the story of the consternation that this statement caused to the twelve followers of Jesus.,Leonardo erzählt von der Bestürzung dieser Aussage verursacht die zwölf Nachfolger Jesu.,"莱昂纳多告诉大家,这一声明令人惊恐,导致耶稣的十二名追随者。",Leonardo told you that this statement was horrifying and led to the 12 followers of Jesus.,,Leonardo tells of the dismay of this statement caused the twelve followers of Jesus.
The centrepiece is Cathedral Cave with the massive Altar Rock.,Herzstück ist die Cathedral Cave mit dem riesigen Altarrock.,中心是大教堂的洞穴 它的特征是巨大的阿尔塔尔岩,The center is the Cathedral's cave.,,The centrepiece is the Cathedral Cave with the huge altar skirt.
He is best known as an educator of poor children and an advocate of conscientious objection.,Er ist am besten als Erzieher armer Kinder bekannt und fördert Kriegsdienstverweigerung.,他最著名的是贫困儿童的教师和出于良心拒服兵役的倡导者。,His most prominent are teachers of children living in poverty and advocates of conscientious objection to military service.,,He is best known as an educator of poor children and promotes conscientious objection.
"The word cereal derives from Ceres, the name of the Roman goddess of harvest and agriculture.",Das Wort Getreide stammt von Ceres. Es war der Name der römischen Göttin der Ernte und Landwirtschaft.,谷物来自塞雷斯 收获和农业的罗马女神,"The grain comes from Celes, the Roman goddess of harvest and agriculture.",,The word grain comes from Ceres. It was the name of the Roman goddess of harvest and agriculture.
"The marriage was not entirely happy although it inspired some of Moeran's masterpieces, the Cello Concerto and Cello Sonata.","Das Cellokonzert und die Cellosonate sind Meisterwerke, die von Moerans Ehe inspiriert wurden.",热乐协奏曲和热乐索纳塔 是莫埃兰的婚姻所启发的杰作,The ceremonial concerto and the ceremonata were the masterpieces inspired by Moeland's marriage.,,The cello concerto and cello sonata are masterpieces inspired by Moeran's marriage.
"However, he has also donated over $33,000 to Republicans over the years and publicly endorsed John McCain for president in 2008.",Allerdings hat er auch über $33.000 an Republikaner im Laufe der Jahre gespendet. Er auch öffentlich unterstützt John McCain für Präsident im Jahr 2008.,"多年来,他向共和党捐赠了33,000多美元。 他公开认可约翰·麦凯恩在2008年担任总统。","Over the years, he had donated more than $33,000 to the Republican Party, and he had publicly endorsed John McCain as President in 2008.",,"However, he has also donated over $33,000 to Republicans over the years. He also publicly supports John McCain for President in 2008."
Scattered trees grow in some tundra.,Eine kleine Anzahl von Bäumen wächst in einigen Tundra.,几棵树生长在苔原上,A few trees grow on the tundra.,,A small number of trees grow in some tundra.
They make up the families Tupaiidae and Ptilocercidae and the entire order Scandentia.,Sie bilden die Familien Tupaiidae und Ptilocercidae. Sie bilden auch die gesamte Ordnung Scandentia.,他们组成图帕伊代尔、普蒂洛塞西达和斯坎迪西亚家庭。,"They formed families in Tupajdere, Putilo Secida and Skandisia.",,They form the families Tupaiidae and Ptilocercidae. They also form the entire order Scandentia.
"In the early 1970s, Barry Mazur considered generalizations of Iwasawa theory to abelian varieties.",Barry Mazur dachte über die Verallgemeinerung der IIwasawa-Theorie zu seinen abelianischen Sorten in den frühen 1970er Jahren.,Barry Mazur想在1970年代初期将IIwasawa理论推广到其亚伯利亚品种。,Barry Mazur wanted to extend the Iwasawa theory to his Abelian species in the early 1970s.,,Barry Mazur thought about generalizing the IIwasawa theory to its abelian varieties in the early 1970s.
The high mountainous Alps in the west of Austria flatten somewhat into low lands and plains in the east of the country.,Die Alpen westlich von Österreich flatterten im Osten des Landes in Tiefland und Ebenen.,奥地利西部的阿尔卑斯山平坦到该国东部的低地。,The Alps in western Austria levelled to the lowlands of the eastern part of the country.,,The Alps to the west of Austria fluttered into lowlands and plains in the east of the country.
From the word accountant the term accountancy is derived.,Buchhaltung kommt von Buchhalter.,会计员来自工作会计,The accountant's from the working accountant.,,Accounting comes from accountants.
Plutoids Ice dwarfs that have achieved hydrostatic equilibrium are plutoids.,"Plutoide sind Eis Zwerge, die Gleichgewicht erreicht haben.",原产物:已实现静水平衡的小型冰块是钚。,Origin: Plutonium is the small ice that has achieved a static water balance.,,Plutoids are ice dwarfs that have reached balance.
92 1287 to 1298 Emperor Fushimi Hirohito Traditional dates.,Kaiser Fushimi Hirohito regierte 1287 bis 1298.,1287年到1298年 皇帝福希米·广井统治了1287年到1298年,"From 1287 to 1298, Emperor Fahimi Guangai ruled from 1287 to 1298.",,Emperor Fushimi Hirohito ruled from 1287 to 1298.
"As the truth about the mysterious Others begins to unfold, one of the crash survivors betrays the other castaways, and the cause of the plane crash is revealed.","Als die Wahrheit der seltsamen ""Anderen"" ans Licht kommt, lässt einer der Überlebenden die anderen Kastaways nieder, und die Ursache des Flugzeugabsturzes wird gesagt.","当奇异的“其他者”的真相暴露出来时, 一名幸存者让其他弃尸失望, 飞机失事的原因也告诉了他们。","When the strange ""others"" revealed the truth, one survivor disappointed the others, and the cause of the plane crash told them.",,"When the truth of the strange ""others"" comes to light, one of the survivors settles the other Kastaways, and the cause of the plane crash is said."
The drug also extends the time before a patient needs ventilation support.,"Das Medikament funktioniert gut bis zu der Zeit, bis ein Patient Lüftungsunterstützung benötigt.",药物在病人需要通风前就能买到时间,Drugs can be bought before patients need ventilation.,,The medication works well until the time a patient needs ventilation support.
